Job;Company;City;Work Type;Work Model;Salary;Experience Level;Skills
Consultants Zoho;Alithya;Tangier Metropolitan Area (On-site);Full-time;On-site;;Associate;Hypertext Transfer Protocol (HTTP), Iperf, L2TP, Process Explorer, Procmon, Tcpdump, Technical Advisory, ??????????, ????????, and ?????? ???? ????
D�veloppeur BI S�nior Snowflake;Eviden;Casablanca-Settat, Morocco (Hybrid);Full-time;Hybrid;;Mid-Senior level;Container Orchestration, DevOps, Kubernetes, Terraform, ????? ??? ??????, ???? ???, ?????? ???????, ????? ??????, ????? ????????, and ???? ????? ????? ???????? (DBMS)
Consultant Oracle PL/SQL (F/H);CGI;Mechouar, Casablanca-Settat, Morocco (On-site);Mid-Senior level;On-site;;Director;Graphic Design Principles, JavaScript, OOP, TypeScript, ???????? ?????????, ????? ?????????, ??????? ?????, ???? ??? ??????, ???? ?????? ?????, and ????? ????????
Software Support Expert Engineer with French;Acronis;Rabat, Rabat-Sal�-Kenitra, Morocco;Entry level;;;Associate;CI, Continuous Integration and Continuous Delivery (CI/CD), DevOps, IP development, Infrastructure as code (IaC), Technical Advisory, ????? ???????, ????? ???????, ?? ???????, and ??????? ???????
Ing�nieur DevOps H/F;Sofrecom Maroc;Rabat, Rabat-Sal�-Kenitra, Morocco (Hybrid);Full-time;Hybrid;;Associate;.NET, C#, Software Architecture, jQuery, ????? ????????, ???? ??????, ?????????, ????? ?????????, ????? ????????, and ???? ????? ????? ???????? (DBMS)
Tech Lead JavaScript ;Leyton;Casablanca Metropolitan Area (Hybrid);Full-time;Hybrid;;Director;DevOps, Esprit, Google Cloud Platform (GCP), ?????? ?? ?? 2, ????? ????? ???????, ??????? ?????? ????, ??????? ??? ?????, ????? ????????, ?????????? ????, and ?????? ??????? ??? ???????
Engineering Lead, DevOps - X Delivery;BCG X;Casablanca, Casablanca-Settat, Morocco;Full-time;;;Associate;C, SAP, Technical Specs, Unix, webMethods, ????? ???????, ????? ????? ?????? ????, ????? ?????, ????????? ????????, ????? ??? ???, and ?????? ??????? ??? ???????
Ing�nieur �tudes et d�veloppement .net Confirm� (F/H) - Rabat;Cegedim;Rabat, Rabat-Sal�-Kenitra, Morocco;Full-time;;;Mid-Senior level;Ansible, Apache Kafka, Azure Kubernetes Service (AKS), DevOps, Keycloak, ????? ?????????, ???????? ?????????, ????????? ????????, ????? ?????, ????? ????????, and ?????????? ????
Ing�nieur Exp�riment� Cloud F/H;Deloitte;Mechouar, Casablanca-Settat, Morocco (Hybrid);Full-time;Hybrid;;Associate;C, Financial Management, High Level Of Accuracy, Priority Management, Unix, ????? ?????????, ????? ?????????, ?????????, ??????????, ???????, and ????? ???????
 Expert Webmethods (F/H);CGI;Rabat, Rabat-Sal�-Kenitra, Morocco (Hybrid);Full-time;Hybrid;;Associate;Priority Management, ?????????, ???????, ???????, and ??? ???????
